population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
,,,S6,0.806066577,0.075071113,0.11886231,0.249867569,0.269340308,0.480792123,0.106381417,0.676719402,0.216899181,0.773117566,0.071814108,0.155068326,0.901714525,0.098107665,0.00017781,0.504454743,0.447344424,0.048200833,0.711690853,0.137041602,0.151267545,0.101143138,0.716998134,0.181858728
,,,S7,0.909245212,0.036148724,0.054606064,0.046128982,0.821867308,0.13200371,0.980438861,0.004268879,0.01529226,0.99981933,9.80E-05,8.27E-05,0.658502631,0.123493984,0.218003384,0.212751928,0.052049824,0.735198248,0.260843013,0.537614649,0.201542339,0.769801451,0.151224482,0.078974067
,,,S8,0.954667834,0.027585039,0.017747127,0.066056035,0.834237405,0.09970656,0.428665964,0.436655869,0.134678167,0.749486307,0.056988929,0.193524764,0.766925425,0.09229832,0.140776255,0.957286414,0.039602062,0.003111524,0.890121345,0.072211696,0.037666959,0.949776881,0.034211175,0.016011945
,,,S9,0.457016927,0.500853325,0.042129748,0.989324023,0.004094391,0.006581586,0.180568127,0.333158137,0.486273736,0.983640615,0.001471839,0.014887546,0.086393368,0.908076793,0.00552984,0.495050827,0.269739814,0.235209359,0.050377704,0.908848175,0.04077412,0.642457733,0.269555862,0.087986405
,,,S10,0.947712064,0.050883071,0.001404866,0.683702555,0.236416117,0.079881328,0.765814771,0.181250806,0.052934423,0.428510653,0.291989135,0.279500213,0.647936802,0.042854704,0.309208494,0.369640613,0.500423598,0.129935789,0.986186773,0.008151863,0.005661363,0.861691374,0.011450167,0.12685846
,,,S11,0.895542961,0.01822639,0.086230649,0.416564597,0.15216174,0.431273663,0.447797281,0.494777356,0.057425362,0.746205264,0.211575358,0.042219378,0.892909329,0.075726492,0.031364179,0.799393575,0.144899244,0.055707181,0.596851498,0.107334138,0.295814364,0.570542009,0.332928533,0.096529458
,,,S12,0.804360269,0.189211898,0.006427833,0.636080016,0.13432098,0.229599005,0.150571994,0.226203039,0.623224967,0.964049468,0.034831806,0.001118726,0.652029687,0.185996553,0.16197376,0.518222068,0.162825279,0.318952653,0.609089702,0.2968321,0.094078198,0.589918388,0.390913059,0.019168553
,,,S13,0.753423857,0.190853835,0.055722309,0.172253467,0.027127305,0.800619228,0.870333242,0.004865957,0.124800801,0.962515124,0.015239393,0.022245482,0.003439092,0.761987274,0.234573634,0.527135732,0.367594142,0.105270127,0.240770013,0.623484647,0.13574534,0.210254682,0.196710372,0.593034945
10,180,1,S1,0.835066346,0.160303378,0.004630276,0.06841516,0.794916834,0.136668006,0.89418221,0.051248268,0.054569522,0.473167709,0.260504998,0.266327293,0.399263611,0.462401722,0.138334667,0.916421951,0.047212917,0.036365133,0.171094501,0.310356404,0.518549095,0.091536152,0.759556925,0.148906923
,,,S2,0.835066346,0.160303378,0.004630276,0.739055212,0.086317857,0.174626931,0.767807994,0.168333272,0.063858733,0.998185441,0.000149007,0.001665552,0.801290232,0.075661073,0.123048696,0.284446852,0.190393442,0.525159706,0.995717678,0.002474926,0.001807396,0.049868643,0.493964288,0.456167069
,,,S3=S10,0.835066346,0.160303378,0.004630276,0.06841516,0.794916834,0.136668006,0.428418672,0.465303756,0.106277572,0.473167709,0.260504998,0.266327293,0.399263611,0.462401722,0.138334667,0.577578397,0.373072412,0.049349191,0.83510511,0.09695423,0.06794066,0.890825059,0.080459929,0.028715012
,,,S4=S5,0.835066346,0.160303378,0.004630276,0.739055212,0.086317857,0.174626931,0.767807994,0.168333272,0.063858733,0.998185441,0.000149007,0.001665552,0.801290232,0.075661073,0.123048696,0.284446852,0.190393442,0.525159706,0.995717678,0.002474926,0.001807396,0.890825059,0.080459929,0.028715012
