population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,NormalActuate,AlertActuate,CriticalActuate,,
,,,S11,0.902581064,0.085617159,0.011801778,0.479553782,0.024553353,0.495892865,0.170977518,0.572465693,0.256556789,0.623549835,0.145223044,0.231227121,0.437106504,0.165122233,0.397771263,0.986133271,0.001069743,0.012796986,0.143414266,0.133796944,0.722788789,0.47892045,0.067470244,0.453609306,2.978,4.535,9.127,,11
,,,S12,0.907023744,0.027464008,0.065512248,0.739964752,0.139279784,0.120755464,0.105154239,0.136240683,0.758605078,0.60456848,0.29225428,0.10317724,0.638054832,0.197905902,0.164039267,0.998539925,0.001021116,0.000438959,0.173473505,0.332235748,0.494290747,0.783711457,0.166950871,0.049337672,4.27,4.077,8.066,,37
,,,S13,0.8285961,0.125410489,0.04599341,0.81688272,0.089449817,0.093667463,0.699294957,0.11983429,0.180870753,0.936868632,0.005840902,0.057290466,0.18411356,0.485070097,0.330816342,0.491892237,0.455730169,0.052377593,0.240217149,0.573555069,0.186227782,0.028820876,0.103712639,0.867466485,2.629,4.986,8.633,,65
,,,S14,0.592206218,0.058066298,0.349727484,0.87569727,0.067283541,0.05701919,0.772631096,0.144556309,0.082812595,0.826098719,0.082901992,0.090999289,0.004921523,0.827513518,0.167564959,0.018971864,0.135254062,0.845774074,0.061329682,0.406880221,0.531790096,0.609157018,0.250672369,0.140170613,2.552,6.282,8.327,,26
,,,S15,0.82486404,0.088201828,0.086934133,0.105426816,0.057599504,0.83697368,0.064593611,0.548754579,0.38665181,0.670319436,0.043926133,0.285754431,0.179537665,0.08333147,0.737130865,0.84449091,0.006426982,0.149082108,0.77585422,0.097960809,0.126184971,0.965602808,0.010214454,0.024182738,3.955,6.169,7.557,,32
,,,S16,0.54378054,0.280631872,0.175587588,0.300332063,0.559565678,0.140102259,0.053911776,0.545904957,0.400183267,0.082928532,0.863046568,0.0540249,0.48431806,0.203115158,0.312566782,0.963025879,0.002968738,0.034005383,0.294069779,0.537105398,0.168824823,0.63397721,0.246998945,0.119023845,3.958,4.765,8.15,,76
,,,S17,0.72013779,0.205530847,0.074331363,0.92848402,0.04115079,0.03036519,0.17824245,0.584646188,0.237111363,0.968608163,0.024831838,0.00656,0.811314244,0.073032984,0.115652773,0.540650907,0.104147913,0.35520118,0.130660784,0.603212551,0.266126665,0.879727443,0.090371025,0.029901533,3.254,4.75,7.949,,35
,,,S18,0.927806592,0.06466533,0.007528078,0.948916708,0.004575679,0.046507613,0.234868513,0.410152005,0.354979483,0.214171367,0.612022694,0.173805939,0.427078069,0.004665421,0.56825651,0.956073835,0.023641172,0.020284993,0.493566228,0.394270945,0.112162827,0.753584272,0.127159444,0.119256283,3.39,5.166,7.731,,94
,,,S19,0.991361614,0.002601676,0.00603671,0.721061987,0.086892435,0.192045578,0.021510504,0.342374378,0.636115118,0.118819463,0.824706308,0.056474229,0.429390234,0.32778126,0.242828507,0.877322651,0.074512578,0.048164772,0.51357503,0.45997487,0.0264501,0.903650404,0.027125816,0.069223781,3.919,4.549,7.407,,96
,,,S20,0.605416946,0.148651658,0.245931397,0.463588503,0.201481602,0.334929895,0.033337638,0.668065804,0.298596559,0.868018161,0.007469521,0.124512318,0.520040936,0.446276302,0.033682762,0.671185273,0.155963298,0.172851429,0.056030812,0.164695215,0.779273973,0.45889368,0.24323439,0.29787193,3.5,4.682,9.027,,79
